Role,Input
Web Developer,web developer new york august 2016 to april 2018 php mysql created third json xml built python django postgresql heroku improved assisted third august 2015 to august 2016 created coldfusion ms sql created ms sql monitored computer specialist south bronx september 2010 to august 2015 sma ipads a full school year created created computer engineering city college of the city university of new york june 2017 sql carlosgonzalez additional information skills sketch responsive design xml json bootstrap sql eclipse git gulp webpack
Web Developer,more than 15 years march 2018 javascript created databases excel supported network software installations vba 2017 microsoft office head of it department department of it of ministry of education djibouti dj july 2013 to july 2014 100 000 programmer database administrator ministry of education september 2006 to july 2013 djibouti republic of djibouti 5th 9th 12th software javascript education bs computer science minnesota state university december 2017 computer science university of amiens june 2013 bachelor of education education university of djibouti june 2002 php wordpress c
Web Developer,stack web stack web stack web javascript react express node third crm new york ny june 2019 crm envision fundraising consultant new york ny january 2013 to january 2019 nyc javascript etl sql color information crm development three years crm guided the correctional association of new york new york june 2014 to july 2018 youtube seth troxler bbc radio 1 output ny june 2012 to january 2013 suzanne nossel u s robert f kennedy new york ny may 2011 to june 2012 oversaw raiser s edge the 1980s kerry kennedy co rfk young leaders grant writer database analyst americorps april 2009 may 2011 certificate in software development columbia university the city of new york new york ny january 2019 to june 2019 2004 links
Web Developer,web pakistan march 2019 to june 2019 collaborate javascript javascript specification redesign assist web may 2016 february 2018 computer science university of gujrat 2015 licenses brand british council june 2017 to july 2018
Web Developer,july 2019 social media digital marketing getting grandeur international school hikmah sports atlantis august 2018 to april 2019 managerial october 2017 to july 2018 mis excel media team volunteer the united foundation march 2017 to december 2017 social media managerial web developer june 2011 to august 2011 user interface khanate bengaluru april 2009 to august 2009 daily achievements 2 years the united foundation mpower breadbasket foundation community service neuro vision 20 a social organization basavanagudi graphic designer video education bachelor of engineering in information science and engineering pes institute of technology bengaluru june 2013 photoshop windows xp database management adobe illustrator adobe photoshop communications marketing management eclipse java microsoft office first 2007 2000 fedora programming languages english chinese
Web Developer,developer it professional campbellsville ky it professional 11 years us february 2018 keene s depot write windows develop mssql mysql sap business systems florida february 2017 to february 2018 sap the advanced manufacturing center lead application developer for manufacturing lead data sap resolve sap analyze florida february 2014 to february 2017 sql interfacing thomas april 2013 to february 2014 improve administer vmware data sql develop participate schedule monthly november 2010 april 2013 vmware datacenter sql design windows coordinate develop monthly quarterly education bs database sullivan university lexington ky march 2013 to february 2015 sullivan university september 2010 to march 2013 skills software web development 10 years xml json ajax php java python classic asp aws sql 2008 2016 ibm sap hana 2003 ibm
Web Developer,web applications developer php javascript security certified code archeologist personnel training february 2017 colorado springs november 2015 to february 2017 the ground based electro optical deep space surveillance geodss design and development of new advanced data communication control procedures ada ada june 2015 to october 2015 bi php javascript may 2013 to august 2014 php javascript day government information analyst boeing englewood november 2011 to april 2013 utilize daily geoint the united states russia china image analyst digitalglobe longmont co november 2008 to december 2008 microsoft bing maps qc the product processor cots performed qc gis image analyst specialist microsoft boulder co october 2006 to september 2008 gcp microsoft bing maps major new york chicago miami tokyo march 2010 to september 2010 university of colorado cu boulder boulder co skills 5 years 5 years python 1 year 1 year 5 years 2 years 10 years 10 years 5 years 5 years unix networked macintosh 95 98 nt 2000 xp mac os dos pci photoshop socetset terramodel
Web Developer,january 2016 to april 2019 crm crm monitoring seo wordpress sites creating imacros cron researching coordinating collecting january 2014 to april 2015 filemaker design nese php javascript flash css adobe dreamweaver cs3 supervise filemaker sql mac os mac os troubleshoot create build coordinate june 2012 to september 2012 bootstrap correcting designs php develop runs vision research september may 2012 python distortion education bachelor s computer sciece university of massachusetts boston boston september 2008 may 2013 6 years 6 years html 6 years 3 years
Web Developer,more than 17 years oracle january 2014 may 2019 to july 2019 faa api s javascript postgres developed api s and postgres designed alarm clock reminder react postgres axios javascript react modals www karmablades artisteer joomla and hikashop senior oracle database administrator dominion energy richmond va may 2001 2013 stats pack awr ash oem computer science longwood university 1996 skills database database oracle postgres ajax rman linux shell solaris sun rac asm data guard oracle performance sap b ools db artisan sql wordpress joomla python
Web Developer,more than 17 years oracle january 2014 may 2019 to july 2019 faa api s javascript postgres developed api s and postgres designed alarm clock reminder react postgres axios javascript react modals www karmablades artisteer joomla and hikashop senior oracle database administrator dominion energy richmond va may 2001 2013 stats pack awr ash oem computer science longwood university 1996 skills database database oracle postgres
